id,q,r,state,constituency,ge14_win_coallition,ge14_win_party,ge13_win_coallition,ge13_win_party,ge14_majority,ge14_majority_pct,ge13_majority,ge13_majority_pct,ge14_malay,ge13_malay,ge14_chinese,ge13_chinese,ge14_indian,ge13_indian,ge14_bp_sabah_muslim,ge14_bp_sabah_nonmuslim,ge14_bp_swk,ge14_orang_asli,ge14_others,ge13_others,ge14_total_electorate,ge13_total_electorate,ge14_total_vote_cast,ge13_total_vote_cast,ge14_turnout,ge13_turnout
P140,16,6,Johor,Segamat,PH,PKR,BN,MIC,5476,11.89,1217,3.06,46,44,43,46,10,10,0,0,0,0,0,0,55350,47009,46046,39807,83,85
P141,17,5,Johor,Sekijang,PH,PKR,BN,UMNO,1281,3.34,3007,8.03,59,56,36,39,4,5,0,0,0,0,0,0,45596,43066,38395,37448,84,87
P142,18,5,Johor,Labis,PH,DAP,BN,MCA,3408,10.31,353,1.1,38,37,45,46,15,15,0,0,0,2,0,2,40356,37714,33068,31978,82,85
P143,17,4,Johor,Pagoh,PH,PPBM,BN,UMNO,6927,15.97,12842,31.69,66,65,30,31,4,4,0,0,0,0,0,1,51512,46793,43365,40522,84,87
P144,16,5,Johor,Ledang,PH,PKR,BN,UMNO,8666,13.04,1967,3.26,56,54,39,41,5,5,0,0,0,0,0,1,77474,69316,66462,60348,86,87
P145,16,4,Johor,Bakri,PH,DAP,PR,DAP,23211,37.18,5067,8.7,44,44,53,53,2,2,8,0,0,0,0,0,73883,67202,62431,58270,85,87
P146,17,2,Johor,Muar,PH,PPBM,BN,UMNO,6953,16.28,1646,4.03,67,63,31,35,1,2,0,0,0,0,0,0,50843,48208,42719,40892,84,85
P147,15,1,Johor,Parit Sulong,BN,UMNO,BN,UMNO,6341,12.53,11753,23.64,79,77,21,22,0,0,0,0,0,0,0,0,59609,56896,50601,49715,85,87
P148,17,3,Johor,Ayer Hitam,BN,MCA,BN,MCA,303,0.77,7310,19.37,58,58,38,38,4,4,0,0,0,0,0,0,46157,42913,39380,37747,85,88
P149,16,2,Johor,Sri Gading,PH,PPBM,BN,UMNO,3288,7.32,5761,14.47,65,65,33,34,1,1,0,0,0,0,0,0,52119,44816,44917,39818,86,89
P150,16,1,Johor,Batu Pahat,PH,PKR,PR,PKR,17894,21.5,1732,2.25,55,53,43,46,1,1,0,0,0,0,0,0,98543,88272,83234,77047,84,87
P151,19,2,Johor,Simpang Renggam,PH,PPBM,BN,Gerakan,3475,9.49,5706,16.46,60,57,31,33,9,10,12,0,0,0,1,0,43998,40143,36601,34670,83,86
P152,18,2,Johor,Kluang,PH,DAP,PR,DAP,23053,28.3,7359,9.8,42,40,47,49,9,10,0,0,1,0,0,1,96915,86732,81452,75081,84,87
P153,18,4,Johor,Sembrong,BN,UMNO,BN,UMNO,6662,18.18,10631,29.65,60,59,29,31,9,9,0,0,0,1,0,1,44137,41588,36642,35860,83,86
P154,19,3,Johor,Mersing,BN,UMNO,BN,UMNO,8459,22.16,15747,42.22,81,80,14,16,1,1,0,0,1,2,0,3,48176,44497,38164,37299,79,84
P155,18,3,Johor,Tenggara,BN,UMNO,BN,UMNO,5933,15.74,17196,49.31,75,73,16,17,7,7,0,0,1,1,1,2,44749,39694,37698,34876,84,88
P156,20,2,Johor,Kota Tinggi,BN,UMNO,BN,UMNO,14621,37.49,24574,66.65,88,87,9,11,2,2,0,0,0,0,0,0,46677,41894,38995,36868,84,88
P157,21,0,Johor,Pengerang,BN,UMNO,BN,UMNO,11417,34.81,22508,68.27,90,88,9,10,1,1,0,0,0,0,0,1,40479,37999,32798,32969,81,87
P158,20,1,Johor,Tebrau,PH,PKR,BN,MCA,37225,35.4,1767,2.22,47,47,39,38,12,13,0,0,1,0,1,1,123033,90482,105146,79754,85,88
P159,20,0,Johor,Pasir Gudang,PH,PKR,BN,UMNO,24716,23.24,935,1.06,49,48,37,38,10,11,1,0,1,0,1,3,124172,101041,106351,88437,86,88
P160,19,0,Johor,Johor Baru,PH,PKR,BN,UMNO,19782,24.31,10134,12.7,53,52,41,43,5,5,0,0,0,0,1,1,101409,96321,81378,79807,80,83
P161,18,1,Johor,Pulai,PH,AMANAH,BN,UMNO,28924,32.92,3226,3.76,49,48,39,41,10,10,0,0,0,0,1,1,106268,100490,87859,85763,83,85
P162,17,1,Johor,Iskandar Puteri,PH,DAP,PR,DAP,44864,37.84,14762,15.56,37,34,50,52,12,12,0,0,0,0,0,1,138299,106726,118575,94865,86,89
P163,19,1,Johor,Kulai,PH,DAP,PR,DAP,32748,38.29,13450,17.96,35,33,54,56,0,10,0,0,0,0,0,0,99147,83991,85519,74896,86,89
P164,17,0,Johor,Pontian,BN,UMNO,BN,UMNO,833,1.79,13727,32.11,68,71,30,27,1,1,0,0,0,0,0,0,55570,49633,46464,42752,84,86
P165,18,0,Johor,Tanjung Piai,PH,PPBM,BN,MCA,524,1.14,5457,11.98,57,52,42,47,1,1,0,0,0,0,0,0,53528,51875,45789,45537,86,88
P166,37,7,Federal Territories,Labuan,BN,UMNO,BN,UMNO,1450,6.69,6625,34.23,0,0,21,0,1,0,31,0,2,0,3,0,28356,24474,21660,19356,76,79
P167,42,9,Sabah,Kudat,BN,UMNO,BN,UMNO,1359,3.57,12376,34.04,0,0,9,0,0,0,57,34,0,0,0,0,52251,47249,38034,36355,73,77
P168,40,9,Sabah,Kota Marudu,BN,PBS,BN,PBS,1774,5.06,842,2.55,0,0,2,0,0,0,29,69,0,0,0,0,47007,42197,35085,33077,75,78
P169,40,8,Sabah,Kota Belud,PH,WARISAN,BN,UMNO,4262,9.02,5095,11.73,0,0,1,0,0,0,60,38,0,0,0,0,57919,51467,47271,43423,82,84
P170,41,7,Sabah,Tuaran,BN,UPKO,BN,UPKO,7624,17.09,5190,12.73,0,0,5,0,0,0,48,47,0,0,1,0,54400,48276,44601,40760,82,84
P171,40,6,Sabah,Sepanggar,PH,WARISAN,BN,UMNO,12984,26.66,9442,21.75,0,0,19,0,0,0,55,25,0,0,1,0,62415,53374,48698,43416,78,81
P172,40,7,Sabah,Kota Kinabalu,PH,DAP,PR,DAP,24086,56.18,18959,48.01,0,0,63,0,0,0,22,14,0,0,1,0,56220,50516,42873,39488,76,78
P173,39,7,Sabah,Putatan,PH,PKR,BN,UPKO,2339,7.4,9507,31.95,0,0,15,0,0,0,69,14,0,0,1,0,41312,37490,31616,29760,77,79
P174,42,6,Sabah,Penampang,PH,WARISAN,PR,PKR,23473,53.93,10216,27.75,0,0,33,0,0,0,14,52,0,0,2,0,53131,44323,43525,36818,82,83
P175,41,6,Sabah,Papar,PH,WARISAN,BN,UMNO,325,0.89,10535,31.74,0,0,7,0,0,0,67,25,0,0,1,0,43586,38771,36379,33194,83,86
P176,39,6,Sabah,Kimanis,BN,UMNO,BN,UMNO,156,0.61,5723,24.74,0,0,3,0,0,0,67,30,0,0,0,0,29618,26628,25413,23128,86,87
P177,38,6,Sabah,Beaufort,BN,UMNO,BN,UMNO,3331,11.89,673,2.59,0,0,7,0,0,0,66,26,0,0,0,0,33342,30097,28011,25949,84,86
P178,39,4,Sabah,Sipitang,BN,UMNO,BN,UMNO,852,3.36,9469,38.92,0,0,4,0,0,0,76,19,0,0,1,0,31882,29177,25367,24329,80,83
P179,41,8,Sabah,Ranau,PH,PKR,BN,UPKO,1076,3.19,3611,11.5,0,0,2,0,0,0,40,57,0,0,1,0,43706,39053,33711,31396,77,80
P180,39,5,Sabah,Keningau,SOLIDARITI,SOLIDARITI,BN,PBS,45,0.11,3918,10.85,0,0,9,0,0,0,28,62,0,0,1,0,51177,43691,40671,36098,79,83
P181,40,5,Sabah,Tenom,PH,DAP,BN,UMNO,1133,4.95,3886,18.57,0,0,10,0,0,0,28,61,0,0,1,0,29182,25304,22899,20926,78,83
P182,41,5,Sabah,Pensiangan,BN,PBRS,BN,PBRS,2314,9.29,1744,8.16,0,0,1,0,0,0,24,74,0,0,1,0,31377,26194,24896,21379,79,82
P183,42,7,Sabah,Beluran,BN,UMNO,BN,UMNO,7115,33.05,9988,52.81,0,0,1,0,0,0,54,44,0,0,1,0,28509,24688,21530,18914,76,77
P184,42,8,Sabah,Libaran,BN,UMNO,BN,UMNO,678,1.83,11586,36.19,0,0,16,0,0,0,77,6,0,0,1,0,47914,39772,37091,32016,77,81
P185,44,7,Sabah,Batu Sapi,PH,WARISAN,BN,PBS,4619,19.31,3798,16.26,0,0,30,0,0,0,65,4,0,0,1,0,32574,30199,23916,23356,73,77
P186,43,7,Sabah,Sandakan,PH,DAP,PR,DAP,10098,35.32,1088,3.9,0,0,49,0,0,0,44,6,0,0,1,0,39777,37058,28592,27889,72,75
P187,43,6,Sabah,Kinabatangan,BN,UMNO,BN,UMNO,9478,42.73,9731,48.75,0,0,1,0,0,0,72,26,0,0,0,0,28730,24748,22179,19960,77,81
P188,45,6,Sabah,Silam,PH,WARISAN,BN,UMNO,6401,14.51,13387,33.8,0,0,10,0,0,0,80,9,0,0,1,0,60942,51662,44119,39606,72,77
P189,44,5,Sabah,Semporna,PH,WARISAN,BN,UMNO,20674,60.08,20905,66.32,0,0,2,0,0,0,96,2,0,0,0,0,48248,41549,34408,31523,71,76
P190,43,5,Sabah,Tawau,PH,PKR,BN,PBS,4727,10.81,4979,12.55,0,0,34,0,0,0,61,5,0,0,1,0,59919,51538,43734,39658,73,77
P191,42,5,Sabah,Kalabakan,PH,WARISAN,BN,UMNO,3187,8.44,14221,39.36,0,0,9,0,0,0,84,6,0,0,1,0,52199,46793,37749,36132,72,77
P192,28,1,Sarawak,Mas Gading,PH,DAP,BN,SPDP,3024,13.29,2156,10.59,5,0,18,0,0,0,0,0,76,0,1,0,29617,25771,22754,20353,77,79
P193,29,0,Sarawak,Santubong,BN,PBB,BN,PBB,19485,57.8,20936,71.68,80,0,8,0,0,0,0,0,12,0,0,0,45628,37017,33713,29207,74,79
P194,30,0,Sarawak,Petra Jaya,BN,PBB,BN,PBB,15017,34.68,21443,56.43,73,0,13,0,0,0,0,0,12,0,0,0,57925,49750,43299,37996,75,76
P195,30,1,Sarawak,Bandar Kuching,PH,DAP,PR,DAP,35973,58.62,19642,48.11,4,0,89,0,0,0,0,0,6,0,1,0,81856,53336,61364,40825,75,77
P196,31,0,Sarawak,Stampin,PH,DAP,PR,DAP,14221,27.19,18670,28.55,16,0,64,0,0,0,0,0,18,0,2,0,66240,84732,52307,65383,79,77
P197,31,1,Sarawak,Kota Samarahan,BN,PBB,BN,PBB,16992,46.81,17401,55.19,62,0,11,0,0,0,0,0,26,0,1,0,46300,38158,36298,31531,78,83
P198,32,1,Sarawak,Mambong,PH,PKR,BN,PBB,4005,11.43,9721,29.84,5,0,26,0,0,0,0,0,68,0,1,0,46180,42344,35034,32579,76,77
P199,32,2,Sarawak,Serian,BN,SUPP,BN,SUPP,9905,35.62,13151,49.58,8,0,10,0,0,0,0,0,81,0,1,0,37629,33713,27804,26523,74,79
P200,33,0,Sarawak,Batang Sadong,BN,PBB,BN,PBB,12328,71.32,11260,72.55,70,0,5,0,0,0,0,0,24,0,1,0,23213,19839,17286,15521,74,78
P201,33,1,Sarawak,Batang Lupar,BN,PBB,BN,PBB,10277,50,10964,52.94,67,0,3,0,0,0,0,0,30,0,0,0,29811,27360,20554,20711,69,76
P202,33,2,Sarawak,Sri Aman,BN,PRS,BN,PRS,5820,24.98,6550,29.3,10,0,17,0,0,0,0,0,73,0,0,0,33016,29789,23295,22353,71,75
P203,34,1,Sarawak,Lubok Antu,IND,IND,BN,PRS,1059,7.18,4091,27.02,2,0,8,0,0,0,0,0,90,0,0,0,20801,19303,14750,15138,71,78
P204,34,2,Sarawak,Betong,BN,PBB,BN,PBB,8116,38.64,10887,53.42,38,0,7,0,0,0,0,0,55,0,0,0,29145,26322,21003,20380,72,77
P205,34,3,Sarawak,Saratok,PH,PKR,BN,SPDP,989,4.31,2081,9.43,36,0,6,0,0,0,0,0,57,0,1,0,30517,27562,22964,22058,75,80
P206,35,0,Sarawak,Tanjong Manis,BN,PBB,BN,PBB,8674,60.47,10964,76.44,26,0,4,0,0,0,0,0,69,0,1,0,21899,19215,14344,14344,66,75
P207,35,1,Sarawak,Igan,BN,PBB,BN,PBB,8495,65.86,10149,73.2,7,0,4,0,0,0,0,0,89,0,0,0,19592,17771,12898,13865,66,78
P208,35,2,Sarawak,Sarikei,PH,DAP,PR,DAP,2570,8.34,505,1.78,5,0,63,0,0,0,0,0,32,0,0,0,39561,36550,30816,28298,78,77
P209,35,3,Sarawak,Julau,IND,IND,BN,PRS,1931,10.43,5955,35.12,1,0,5,0,0,0,0,0,94,0,0,0,25380,22522,18520,16957,73,75
P210,35,4,Sarawak,Kanowit,BN,PRS,BN,PRS,4312,28.58,3042,22.13,2,0,12,0,0,0,0,0,86,0,0,0,21022,19433,15087,13743,72,71
P211,36,1,Sarawak,Lanang,PH,DAP,PR,DAP,14546,31.45,8630,19.22,3,0,69,0,0,0,0,0,27,0,1,0,61973,57143,46257,44900,75,79
P212,36,2,Sarawak,Sibu,PH,DAP,PR,DAP,11422,19.94,2841,5.52,11,0,63,0,0,0,0,0,25,0,1,0,74149,64601,57268,51474,77,80
P213,36,3,Sarawak,Mukah,BN,PBB,BN,PBB,7000,33.2,12764,64.34,3,0,9,0,0,0,0,0,87,0,1,0,30608,26477,21085,19838,69,75
P214,36,4,Sarawak,Selangau,PH,PKR,BN,PRS,486,2.18,7555,36.45,1,0,3,0,0,0,0,0,95,0,1,0,30026,25461,22304,20725,74,81
P215,37,1,Sarawak,Kapit,BN,PBB,BN,PBB,10479,56.94,9731,55.82,3,0,10,0,0,0,0,0,87,0,0,0,30658,26195,18403,17432,60,67
P216,37,2,Sarawak,Hulu Rajang,BN,PRS,BN,PRS,6315,35.76,5834,39.57,1,0,2,0,0,0,0,0,97,0,0,0,27520,21686,17659,14742,64,68
P217,37,3,Sarawak,Bintulu,BN,PDP,BN,SPDP,7022,14.63,7433,16.18,11,0,29,0,0,0,0,0,60,0,0,0,65049,59893,47981,45941,74,77
P218,37,4,Sarawak,Sibuti,BN,PBB,BN,PBB,3676,16.23,6066,29,24,0,22,0,0,0,0,0,54,0,0,0,31868,28351,22653,20918,71,74
P219,37,5,Sarawak,Miri,PH,PKR,PR,PKR,13663,23.42,1992,3.78,15,0,55,0,0,0,0,0,28,0,2,0,80386,71170,58328,52762,73,74
P220,38,3,Sarawak,Baram,BN,PDP,BN,SPDP,1990,8.75,194,1.03,5,0,8,0,0,0,0,0,87,0,0,0,35685,29385,22751,18775,64,64
P221,38,4,Sarawak,Limbang,BN,PBB,BN,PBB,7710,43.64,8301,46.48,28,0,18,0,0,0,0,0,46,0,8,0,26409,24278,17669,17859,67,74
P222,38,5,Sarawak,Lawas,BN,PBB,BN,PBB,6000,41.65,6030,42.85,40,0,9,0,0,0,0,0,48,0,3,0,21297,18845,14407,14072,68,75
