par_code,state,ge13_constituency,ge14_constituency,ge13_win_coallition,ge13_win_party,ge14_win_coallition,ge14_win_party,ge13_majority,ge13_majority_pct,ge14_majority,ge14_majority_pct,ge13_malay,ge14_malay,bn_ge13_vote,bn_rede_vote,bn_ge14_vote,bn_ge13_vote_pct,bn_rede_vote_pct,adjusted_rede_diff,bn_ge14_vote_pct,swing_vote,swing_pct,ge13_total_electorate,rede_total_electorate,ge14_total_electorate,ge13_tvv,rede_tvv,ge14_tvv,ge13_turnout,ge14_turnout
P094,Selangor,Hulu Selangor,Hulu Selangor,BN,MIC,PH,PKR,3414,4.56,13391,15.48,57,60,37403,37403,27392,51,51,0,32,-10011,-36.55,85697,85697,100990,73496,73496,85221,87,86
P095,Selangor,Tanjong Karang,Tanjong Karang,BN,UMNO,BN,UMNO,4394,11.66,1970,4.8,73,75,20548,20602,17596,55,56,1,43,-3006,-17.08,42333,42418,47198,37042,37118,40498,89,87
P096,Selangor,Kuala Selangor,Kuala Selangor,BN,UMNO,PH,AMANAH,460,0.83,8498,14,64,65,27500,26420,21344,50,51,1,36,-5076,-23.78,62298,59478,69397,54540,51939,59721,89,87
P097,Selangor,Selayang,Selayang,PR,PKR,PH,PKR,17846,19.33,40657,41.09,45,52,34385,32027,19501,38,41,3,20,-12526,-64.23,105895,92282,116176,90880,78887,98002,87,85
P098,Selangor,Gombak,Gombak,PR,PKR,PH,PKR,4734,4.43,48721,40.61,74,76,50093,51454,26392,48,49,1,22,-25062,-94.96,123290,123935,141112,105394,105765,119042,87,85
P099,Selangor,Ampang,Ampang,PR,PKR,PH,PKR,13278,18.6,41956,54.38,55,55,28691,26100,12351,41,38,-3,16,-13749,-111.32,83135,79141,91737,70660,68155,76550,86,84
P100,Selangor,Pandan,Pandan,PR,PKR,PH,PKR,26729,36.58,52543,60.89,44,46,21454,22684,12190,30,31,1,14,-10494,-86.09,83857,87206,101319,72052,74186,85774,87,85
P101,Selangor,Hulu Langat,Hulu Langat,PR,PAS,PH,AMANAH,17267,15.37,25424,28.51,53,65,46860,34902,23580,42,49,7,27,-11322,-48.02,127347,80533,102363,110987,70850,88247,88,87
P102,Selangor,Serdang,Bangi,PR,DAP,PH,DAP,42206,35.75,68768,43.68,40,48,37032,43430,19766,32,35,3,13,-23664,-119.72,133139,141456,178790,116270,122576,156327,89,88
P103,Selangor,Puchong,Puchong,PR,DAP,PH,DAP,32802,34.77,47635,56.61,39,37,30136,22851,12794,32,32,0,15,-10057,-78.61,107010,81706,96437,93074,71434,83478,88,87
P104,Selangor,Kelana Jaya,Subang,PR,PKR,PH,PKR,28827,33.41,92353,73.11,38,27,27963,26589,12077,33,25,-8,10,-14512,-120.16,101236,125489,146422,85116,108259,125705,85,86
P105,Selangor,PJ Selatan,Petaling Jaya,PR,PKR,PH,PKR,19216,29.48,57137,49.15,40,47,21846,38495,21847,34,37,3,19,-16648,-76.2,79558,128411,140920,64355,104464,115279,82,82
P106,Selangor,PJ Utara,Damansara,PR,DAP,PH,DAP,44672,63.26,106903,77.95,15,20,12735,25528,14380,18,20,2,11,-11148,-77.52,85401,150074,164322,70142,126198,136280,83,83
P107,Selangor,Subang,Sungai Buloh,PR,PKR,PH,PKR,26719,23.73,26634,33.87,50,65,39549,28543,16681,36,45,9,21,-11862,-71.11,128543,73508,90707,110949,63922,77951,88,87
P108,Selangor,Shah Alam,Shah Alam,PR,PAS,PH,AMANAH,10939,12.44,33849,36.05,69,75,38070,35702,22100,44,46,2,24,-13602,-61.55,99957,88611,107316,87079,77382,93243,88,88
P109,Selangor,Kapar,Kapar,PR,PKR,PH,PKR,23790,18.78,16306,15.16,51,71,46059,41273,26412,37,46,9,25,-14861,-56.27,144159,104196,124983,124330,89727,106093,88,86
P110,Selangor,Klang,Klang,PR,DAP,PH,DAP,24685,29.35,78773,61.41,33,26,29034,33635,19506,35,29,-6,15,-14129,-72.43,97073,137978,149348,82753,117960,127074,87,86
P111,Selangor,Kota Raja,Kota Raja,PR,PAS,PH,AMANAH,29395,31.76,71142,55.11,48,43,29711,31431,17874,32,32,0,14,-13557,-75.85,105909,113718,149021,91461,98262,128126,87,87
P112,Selangor,Kuala Langat,Kuala Langat,PR,PKR,PH,PKR,5358,6.82,17112,19.18,55,57,35625,35625,26127,46,46,0,30,-9498,-36.35,88474,88474,102406,77034,77034,88097,89,87
P113,Selangor,Sepang,Sepang,PR,PAS,PH,AMANAH,1104,1.47,18705,20.39,59,62,35658,35658,28035,48,48,0,31,-7623,-27.19,84362,84362,104508,73735,73735,90657,89,88
P114,Federal Territories,Kepong,Kepong,PR,DAP,PH,DAP,40307,68.89,51628,83.64,4,5,7530,7862,4888,13,13,0,8,-2974,-60.84,68035,71594,72696,58124,61283,61404,86,85
P115,Federal Territories,Batu,Batu,PR,PKR,IND,IND,13284,18.45,24438,38.6,44,43,28388,24703,13687,40,40,0,22,-11016,-80.49,85402,72828,76328,71382,61013,62805,84,83
P116,Federal Territories,Wangsa Maju,Wangsa maju,PR,PKR,PH,PKR,5511,9.48,24238,32.7,52,60,26130,29263,17940,45,46,1,24,-11323,-63.12,67775,75143,88482,57771,63801,73608,86,84
P117,Federal Territories,Segambut,Segambut,PR,DAP,PH,DAP,19199,29.97,45702,70.29,36,28,22184,22629,7422,35,34,-1,11,-15207,-204.89,75631,78570,77956,63567,65764,64727,85,83
P118,Federal Territories,Setiawangsa,Setiawangsa,BN,UMNO,PH,PKR,1390,2.64,14372,23.35,56,61,26809,26584,20099,51,52,1,33,-6485,-32.27,62309,61017,72136,52228,51211,60852,85,85
P119,Federal Territories,Titiwangsa,Titwangsa,BN,UMNO,PH,PPBM,866,1.9,4139,8.16,67,70,23034,23034,19701,51,51,0,39,-3333,-16.92,55282,55282,61598,45202,45202,50386,82,82
P120,Federal Territories,Bukit Bintang,Bukit Bintang,PR,DAP,PH,DAP,19399,46.44,37260,70.75,16,13,11009,14140,7256,27,25,-2,14,-6884,-94.87,55721,74625,69526,41417,57275,52408,75,76
P121,Federal Territories,Lembah Pantai,Lembah Pantai,PR,PKR,PH,PKR,1847,3.04,5598,8.37,55,62,29161,27439,27715,48,50,2,42,276,1,72396,66084,80346,60336,55160,66305,84,83
P122,Federal Territories,Seputeh,Seputeh,PR,DAP,PH,DAP,51552,71.85,56059,79.6,6,9,9948,11063,7035,14,16,2,10,-4028,-57.26,85976,82526,86256,71448,68564,70129,83,82
P123,Federal Territories,Cheras,Cheras,PR,DAP,PH,DAP,37409,62.97,49667,77.66,10,10,10840,11048,7006,18,18,0,11,-4042,-57.69,72551,74231,78819,59089,60449,63677,82,81
P124,Federal Territories,Bandar Tun Razak ,Bandar Tun Razak,PR,PKR,PH,PKR,11832,15.14,19930,28.21,53,61,32235,29503,21196,42,43,1,30,-8307,-39.19,90993,80171,83650,77286,68128,70206,86,84
P125,Federal Territories,Putrajaya,Putrajaya,BN,UMNO,BN,UMNO,5541,38.43,3372,13.65,94,94,9943,9943,12148,69,69,0,49,2205,18.15,15791,15791,27306,14345,14418,24558,91,90
P126,Negeri Sembilan,Jelebu,Jelebu,BN,UMNO,BN,UMNO,7101,18.74,2045,5.17,63,65,22114,22114,19062,60,60,0,49,-3052,-16.01,44937,44937,48522,37127,37127,38957,84,81
