State,KodPAR,const_name,coallition,party,candidate_name,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,nonmuslim_bumi
Sarawak,210,Kanowit,SWP,SWP,Ellison Ludan Anak Muyan,lose,PRS,BN,3042,417,13743,3.03,19433,70.72,16,12,0,0,72
Sarawak,210,Kanowit,PR,PKR,Thomas Laja Anak Besi,lose,PRS,BN,3042,5004,13743,36.41,19433,70.72,16,12,0,0,72
Sarawak,210,Kanowit,BN,PRS,Ago Anak Dagang,win,PRS,BN,3042,8046,13743,58.55,19433,70.72,16,12,0,0,72
Sarawak,211,Lanang,BN,SUPP,Tiong Thai King,lose,DAP,PR,8630,17983,44900,40.05,57143,78.57,10,72,0,0,18
Sarawak,211,Lanang,PR,DAP,Alice Lau Kiong Yieng,win,DAP,PR,8630,26613,44900,59.27,57143,78.57,10,72,0,0,18
Sarawak,212,Sibu,BN,SUPP,Lau Lee Ming,lose,DAP,PR,2841,23967,51474,46.56,64601,79.68,20,65,0,0,15
Sarawak,212,Sibu,PR,DAP,Oscar Ling Chai Yew,win,DAP,PR,2841,26808,51474,52.08,64601,79.68,20,65,0,0,15
Sarawak,212,Sibu,IND,IND,Narawi Haron,lose,DAP,PR,2841,203,51474,0.39,64601,79.68,20,65,0,0,15
Sarawak,213,Mukah,IND,IND,Sylvester Ajah Subah @ Ajah Subah,lose,PBB,BN,12764,2219,19838,11.19,26477,74.93,75,10,0,0,15
Sarawak,213,Mukah,PR,DAP,Hai Merawin @ Bonaventure,lose,PBB,BN,12764,2219,19838,11.19,26477,74.93,75,10,0,0,15
Sarawak,213,Mukah,BN,PBB,Muhammad Leo Michael Toyad Abdullah,win,PBB,BN,12764,14983,19838,75.53,26477,74.93,75,10,0,0,15
Sarawak,214,Selangau,BN,PRS,Joseph Entulu Anak Belaun,win,PRS,BN,7555,12040,20725,58.09,25461,81.4,13,4,0,0,83
Sarawak,214,Selangau,SWP,SWP,Sng Chee Hua,lose,PRS,BN,7555,4485,20725,21.64,25461,81.4,13,4,0,0,83
Sarawak,214,Selangau,PR,PKR,Joshua Anak Jag @ Joshua Jabeng,lose,PRS,BN,7555,3891,20725,18.77,25461,81.4,13,4,0,0,83
Sarawak,215,Kapit,BN,PBB,Alexander Nanta Linggi,win,PBB,BN,9731,13446,17432,77.13,26195,66.55,22,10,0,0,68
Sarawak,215,Kapit,PR,DAP,Ramli Anak Malaka,lose,PBB,BN,9731,3715,17432,21.31,26195,66.55,22,10,0,0,68
Sarawak,216,Hulu Rajang,SWP,SWP,George Anak Lagong,lose,PRS,BN,5834,2129,14742,14.44,21686,67.98,20,1,0,2,77
Sarawak,216,Hulu Rajang,PR,PKR,Abun Sui Anyit,lose,PRS,BN,5834,3283,14742,22.27,21686,67.98,20,1,0,2,77
Sarawak,216,Hulu Rajang,BN,PRS,Ugak Anak Kumbong,win,PRS,BN,5834,9117,14742,61.84,21686,67.98,20,1,0,2,77
Sarawak,217,tulu,BN,SPDP,Tiong King Sing,win,SPDP,BN,7433,26458,45941,57.59,59893,76.71,29,27,0,0,44
Sarawak,217,tulu,PR,DAP,John Brian Anthony Anak Jeremy Guang,lose,SPDP,BN,7433,19025,45941,41.41,59893,76.71,29,27,0,0,44
Sarawak,218,Sibuti,PR,PAS,Muhammad Zaid Tandang,lose,PBB,BN,6066,7282,20918,34.81,28351,73.78,33,22,0,0,45
Sarawak,218,Sibuti,BN,PBB,Ahmad Lai Bujang,win,PBB,BN,6066,13348,20918,63.81,28351,73.78,33,22,0,0,45
Sarawak,219,Miri,PR,PKR,Michael Teo Yu Keng,win,PKR,PR,1992,26909,52762,51,71170,74.14,26,57,0,0,17
Sarawak,219,Miri,BN,SUPP,Sebastian Ting Chiew Yew,lose,PKR,PR,1992,24917,52762,47.23,71170,74.14,26,57,0,0,17
Sarawak,219,Miri,STAR,STAR,Chong Kon Fatt,lose,PKR,PR,1992,306,52762,0.58,71170,74.14,26,57,0,0,17
Sarawak,220,Baram,BN,SPDP,Anyi Ngau,win,SPDP,BN,194,9182,18775,48.91,29385,63.89,21,9,0,0,70
Sarawak,220,Baram,IND,IND,Patrick Sibat Sujang,lose,SPDP,BN,194,363,18775,1.93,29385,63.89,21,9,0,0,70
Sarawak,220,Baram,PR,PKR,Roland Engan,lose,SPDP,BN,194,8988,18775,47.87,29385,63.89,21,9,0,0,70
Sarawak,221,Limbang,PR,PKR,Baru Bian,lose,PBB,BN,8301,4698,17859,26.31,24278,73.56,46,19,0,0,35
Sarawak,221,Limbang,BN,PBB,Hasbi Habibollah,win,PBB,BN,8301,12999,17859,72.79,24278,73.56,46,19,0,0,35
Sarawak,222,Lawas,BN,PBB,Henry Sum Agong,win,PBB,BN,6030,9928,14072,70.55,18845,74.67,43,10,0,0,47
Sarawak,222,Lawas,PR,DAP,Baru Langub,lose,PBB,BN,6030,3898,14072,27.7,18845,74.67,43,10,0,0,47
Sarawak,222,Lawas,STAR,STAR,Alirahman Kamseh,lose,PBB,BN,6030,69,14072,0.49,18845,74.67,43,10,0,0,47
