State,KodPAR,const_name,coallition,party,candidate_name,winlose,won_party,won_coallition,majority,votes,voted_voters,votes_pct,total_voters,turnout_rate,malay,chinese,indian,others,nonmuslim_bumi
Kelantan,32,Gua Musang,PR,PAS,Wan Abd Rahim Wan Abdullah,lose,UMNO,BN,8413,12954,35033,36.98,40176,87.2,80,7,1,12,0
Terengganu,33,Besut,BN,UMNO,Idris Jusoh,win,UMNO,BN,8342,35232,62763,56.13,72566,86.49,98,2,0,0,0
Terengganu,33,Besut,PR,PAS,Riduan Mohamad Nor,lose,UMNO,BN,8342,26890,62763,42.84,72566,86.49,98,2,0,0,0
Terengganu,34,Setiu,BN,UMNO,Che Mohamad Zulkifly Jusoh,win,UMNO,BN,7943,33198,59139,56.14,67280,87.9,99,0,0,0,0
Terengganu,34,Setiu,PR,PAS,Omar Sidek,lose,UMNO,BN,7943,25255,59139,42.7,67280,87.9,99,0,0,0,0
Terengganu,35,Kuala Nerus,BN,UMNO,Mohd Nasir B. Ibrahim @ Ibrahim Fikri,lose,PAS,PR,610,33251,67882,48.98,76238,89.04,99,1,0,0,0
Terengganu,35,Kuala Nerus,PR,PAS,Mohd Khairuddin Aman Razali,win,PAS,PR,610,33861,67882,49.88,76238,89.04,99,1,0,0,0
Terengganu,36,Kuala Terengganu,BN,UMNO,Mohd Zubir Embong,lose,PAS,PR,10785,35043,81898,42.79,94406,86.75,89,10,1,0,0
Terengganu,36,Kuala Terengganu,PR,PAS,Raja Kamarul Bahrin Shah,win,PAS,PR,10785,45828,81898,55.96,94406,86.75,89,10,1,0,0
Terengganu,36,Kuala Terengganu,IND,IND,Maimun Ti Yusuf,lose,PAS,PR,10785,182,81898,0.22,94406,86.75,89,10,1,0,0
Terengganu,37,Marang,BN,UMNO,Yahya Khatib Mohamad,lose,PAS,PR,5124,37860,81644,46.37,90795,89.92,98,2,0,0,0
Terengganu,37,Marang,PR,PAS,Abdul Hadi Awang,win,PAS,PR,5124,42984,81644,52.65,90795,89.92,98,2,0,0,0
Terengganu,38,Hulu Terengganu,PR,PAS,Kamaruzaman Abdullah,lose,UMNO,BN,8213,23727,56491,42,63543,88.9,99,1,0,0,0
Terengganu,38,Hulu Terengganu,BN,UMNO,Jailani Johari,win,UMNO,BN,8213,31940,56491,56.54,63543,88.9,99,1,0,0,0
Terengganu,39,Dungun,BN,UMNO,Rosli Mat Hassan,lose,PAS,PR,3942,31406,68047,46.15,78174,87.05,96,4,0,0,0
Terengganu,39,Dungun,PR,PAS,Wan Hassan Mohd Ramli,win,PAS,PR,3942,35348,68047,51.95,78174,87.05,96,4,0,0,0
Terengganu,39,Dungun,IND,IND,Mazlan Harun,lose,PAS,PR,3942,384,68047,0.56,78174,87.05,96,4,0,0,0
Terengganu,40,Kemaman,BN,UMNO,Ahd Shabery Cheek,win,UMNO,BN,12306,45525,79973,56.93,91942,86.98,93,6,1,1,0
Terengganu,40,Kemaman,PR,PKR,Kamarudin Chik,lose,UMNO,BN,12306,33219,79973,41.54,91942,86.98,93,6,1,1,0
Pulau Pinang,41,Kepala Batas,BN,UMNO,Reezal Merican Bib Naina Merican,win,UMNO,BN,4176,25128,46665,53.85,51635,90.37,76,19,4,0,0
Pulau Pinang,41,Kepala Batas,PR,PAS,Afnan Hamimi Taib Azamudden,lose,UMNO,BN,4176,20952,46665,44.9,51635,90.37,76,19,4,0,0
Pulau Pinang,42,Tasek Gelugor,PR,PAS,Abdul Rahman B Maidin,lose,UMNO,BN,3042,21351,48009,44.47,54042,88.84,78,15,7,1,0
Pulau Pinang,42,Tasek Gelugor,IND,IND,Mohd Shariff Omar,lose,UMNO,BN,3042,1590,48009,3.31,54042,88.84,78,15,7,1,0
Pulau Pinang,42,Tasek Gelugor,BN,UMNO,Shabudin Yahaya,win,UMNO,BN,3042,24393,48009,50.81,54042,88.84,78,15,7,1,0
Pulau Pinang,43,Bagan,BN,MCA,Chua Teik Siang,lose,DAP,PR,34159,12307,59735,20.6,68503,87.2,15,70,15,0,0
Pulau Pinang,43,Bagan,PR,DAP,Lim Guan Eng,win,DAP,PR,34159,46466,59735,77.79,68503,87.2,15,70,15,0,0
Pulau Pinang,43,Bagan,PCM,PCM,Lim Kim Chu,lose,DAP,PR,34159,328,59735,0.55,68503,87.2,15,70,15,0,0
Pulau Pinang,44,Permatang Pauh,IND,IND,Abdullah Zawawi Samsudin,lose,PKR,PR,11721,201,63332,0.32,71699,88.33,70,23,6,1,0
Pulau Pinang,44,Permatang Pauh,PR,PKR,Anwar Ibrahim,win,PKR,PR,11721,37090,63332,58.56,71699,88.33,70,23,6,1,0
Pulau Pinang,44,Permatang Pauh,BN,UMNO,Mazlan Ismail,lose,PKR,PR,11721,25369,63332,40.06,71699,88.33,70,23,6,1,0
Pulau Pinang,45,Bukit Mertajam,BN,MCA,Gui Guat Lye,lose,DAP,PR,43063,12814,69403,18.46,78996,87.86,19,71,10,0,0
Pulau Pinang,45,Bukit Mertajam,PR,DAP,Sim Chee Keong,win,DAP,PR,43063,55877,69403,80.51,78996,87.86,19,71,10,0,0
Pulau Pinang,46,Batu Kawan,BN,MIC,Gobalakrishnan A/L Narayanasamy,lose,DAP,PR,25962,10674,50139,21.29,57500,87.2,21,56,23,1,0
Pulau Pinang,46,Batu Kawan,PCM,PCM,Huan Cheng Guan,lose,DAP,PR,25962,1801,50139,3.59,57500,87.2,21,56,23,1,0
Pulau Pinang,46,Batu Kawan,PR,DAP,Kasthuriraani A/P Patto,win,DAP,PR,25962,36636,50139,73.07,57500,87.2,21,56,23,1,0
Pulau Pinang,46,Batu Kawan,IND,IND,Mohan A/L Apparoo,lose,DAP,PR,25962,305,50139,0.61,57500,87.2,21,56,23,1,0
Pulau Pinang,47,Nibong Tebal,PR,PKR,Mansor Othman,win,PKR,PR,8598,30003,52538,57.11,59345,88.53,45,37,18,0,0
Pulau Pinang,47,Nibong Tebal,IND,IND,Teng Kok Pheng,lose,PKR,PR,8598,297,52538,0.57,59345,88.53,45,37,18,0,0
Pulau Pinang,47,Nibong Tebal,BN,UMNO,Zainal Abidin Osman,lose,PKR,PR,8598,21405,52538,40.74,59345,88.53,45,37,18,0,0
Pulau Pinang,48,Bukit Bendera,BN,GERAKAN,Teh Leong Meng,lose,DAP,PR,32778,12813,59019,21.71,71085,83.03,14,74,11,1,0
Pulau Pinang,48,Bukit Bendera,PR,DAP,Zairil Khir Johari,win,DAP,PR,32778,45591,59019,77.25,71085,83.03,14,74,11,1,0
Pulau Pinang,49,Tanjong,BN,GERAKAN,Ng Song Kheng,lose,DAP,PR,28645,6865,42870,16.01,51487,83.26,5,85,9,0,0
Pulau Pinang,49,Tanjong,PR,DAP,Ng Wei Aik,win,DAP,PR,28645,35510,42870,82.83,51487,83.26,5,85,9,0,0
Pulau Pinang,50,Jelutong,BN,GERAKAN,Ng Fook On,lose,DAP,PR,25750,17461,61441,28.42,71247,86.24,22,67,11,1,0
Pulau Pinang,50,Jelutong,PR,DAP,Ooi Chuan Aun,win,DAP,PR,25750,43211,61441,70.33,71247,86.24,22,67,11,1,0
Pulau Pinang,51,Bukit Gelugor,PR,DAP,Karpal Singh A/L Ram Singh,win,DAP,PR,41778,55839,70554,79.14,81897,86.15,14,74,10,1,0
Pulau Pinang,51,Bukit Gelugor,BN,MCA,Teh Beng Yeam,lose,DAP,PR,41778,14061,70554,19.93,81897,86.15,14,74,10,1,0
Pulau Pinang,52,Bayan Baru,BN,MCA,Tang Heap Seng,lose,PKR,PR,19307,24251,68659,35.32,79155,86.74,39,49,11,1,0
Pulau Pinang,52,Bayan Baru,PR,PKR,Sim Tze Tzin,win,PKR,PR,19307,43558,68659,63.44,79155,86.74,39,49,11,1,0
Pulau Pinang,53,Balik Pulau,BN,UMNO,Hilmi Yahaya,win,UMNO,BN,1539,22318,43709,51.06,49641,88.05,63,32,4,0,0
Pulau Pinang,53,Balik Pulau,PR,PKR,Muhammad Bakhtiar Wan Chik,lose,UMNO,BN,1539,20779,43709,47.54,49641,88.05,63,32,4,0,0
Perak,54,Grik,BN,UMNO,Hasbullah Osman,win,UMNO,BN,6216,16415,27108,60.55,32725,82.84,68,16,4,12,0
Perak,54,Grik,PR,PAS,Norhayati Ti Kasim,lose,UMNO,BN,6216,10199,27108,37.62,32725,82.84,68,16,4,12,0
Perak,55,Lenggong,PR,PAS,Razman Zakaria,lose,UMNO,BN,3453,9832,23485,41.87,27950,84.03,82,14,2,2,0
Perak,55,Lenggong,BN,UMNO,Shamsul Anuar Nasarah,win,UMNO,BN,3453,13285,23485,56.57,27950,84.03,82,14,2,2,0
Perak,56,Larut,BN,UMNO,Hamzah Zainudin,win,UMNO,BN,5296,22184,39929,55.56,46577,85.73,89,5,6,0,0
Perak,56,Larut,IND,IND,Raveendran A/L M.Vallikana,lose,BN,BN,5296,278,39929,0.7,46577,85.73,89,5,6,0,0
Perak,56,Larut,PR,PAS,Mohd Fauzi Sa'Ari,lose,BN,BN,5296,16888,39929,42.3,46577,85.73,89,5,6,0,0
Perak,57,Parit Buntar,BN,UMNO,Mua'Amar Ghadafi Jamal Jamaludin,lose,PAS,PR,8476,17539,44172,39.71,51422,85.9,68,27,5,0,0
Perak,57,Parit Buntar,PR,PAS,Mujahid Yusof,win,PAS,PR,8476,26015,44172,58.89,51422,85.9,68,27,5,0,0
Perak,58,Bagan Serai,IND,IND,Abdul Latif Masud,lose,UMNO,BN,1140,329,46313,0.71,54792,84.53,76,14,10,0,0
Perak,58,Bagan Serai,PR,PKR,Mohd Nor Hj. R. M. Monutty,lose,UMNO,BN,1140,21874,46313,47.23,54792,84.53,76,14,10,0,0
Perak,58,Bagan Serai,BN,UMNO,Noor Azmi Ghazali,win,UMNO,BN,1140,23014,46313,49.69,54792,84.53,76,14,10,0,0
Perak,59,Bukit Gantang,BN,UMNO,Ismail Saffian,lose,PAS,PR,986,29577,60888,48.58,71257,85.45,65,25,10,0,0
Perak,59,Bukit Gantang,PR,PAS,Idris Ahmad,win,PAS,PR,986,30563,60888,50.2,71257,85.45,65,25,10,0,0
Perak,60,Taiping,BN,GERAKAN,Tan Lian Hoe,lose,DAP,PR,11745,25530,63749,40.05,78148,81.57,37,48,13,2,0
Perak,60,Taiping,PR,DAP,Nga Kor Ming,win,DAP,PR,11745,37275,63749,58.47,78148,81.57,37,48,13,2,0
Perak,61,Padang Rengas,PR,PKR,Meor Ahmad Isharra Ishak,lose,UMNO,BN,2230,10775,24190,44.54,28518,84.82,76,17,7,0,0
Perak,61,Padang Rengas,BN,UMNO,Mohamed Nazri Abdul Aziz,win,UMNO,BN,2230,13005,24190,53.76,28518,84.82,76,17,7,0,0
Perak,62,Sungai Siput,IND,IND,Nagalingam A/L Singaravelloo,lose,PKR,PR,2793,197,41561,0.47,51596,80.55,33,39,21,7,0
Perak,62,Sungai Siput,PR,PKR,Michael Jeyakumar Devaraj,win,PKR,PR,2793,21593,41561,51.95,51596,80.55,33,39,21,7,0
Perak,62,Sungai Siput,BN,MIC,Devamany A/L S Krishnasamy,lose,PKR,PR,2793,18800,41561,45.23,51596,80.55,33,39,21,7,0
Perak,63,Tambun,BN,UMNO,Ahmad Husni Mohamad Hanadzlah,win,UMNO,BN,9325,42093,76052,55.35,89435,85.04,64,22,12,2,0
Perak,63,Tambun,PR,PKR,Siti Aishah Ti Shaik Ismail,lose,UMNO,BN,9325,32768,76052,43.09,89435,85.04,64,22,12,2,0
Perak,64,Ipoh Timor,BN,MCA,Kathleen Wong Mei Yin,lose,DAP,PR,34000,15086,65006,23.21,81818,79.45,14,79,5,1,0
Perak,64,Ipoh Timor,PR,DAP,Su Keong Siong,win,DAP,PR,34000,49086,65006,75.51,81818,79.45,14,79,5,1,0
Perak,65,Ipoh Barat,IND,IND,Kalwant Singh A/L Sujan Singh,lose,DAP,PR,29038,235,62912,0.37,77761,80.9,14,62,23,1,0
Perak,65,Ipoh Barat,PR,DAP,M. Kulasegaran A/L V. Murugeson,win,DAP,PR,29038,45420,62912,72.2,77761,80.9,14,62,23,1,0
Perak,65,Ipoh Barat,BN,MCA,Cheng Wei Yee,lose,DAP,PR,29038,16382,62912,26.04,77761,80.9,14,62,23,1,0
Perak,66,Batu Gajah,PR,DAP,Sivakumar A/L Varatharaju Naidu,win,DAP,PR,38596,53900,70152,76.83,87587,80.09,11,74,15,1,0
Perak,66,Batu Gajah,BN,MCA,Loo Thin Tuck,lose,DAP,PR,38596,15304,70152,21.82,87587,80.09,11,74,15,1,0
Perak,67,Kuala Kangsar,IND,IND,Kamilia Ti Ibrahim,lose,UMNO,BN,1082,447,28208,1.58,33540,84.1,68,24,7,1,0
Perak,67,Kuala Kangsar,PR,PAS,Khalil Idham Lim Abdullah,lose,UMNO,BN,1082,13136,28208,46.57,33540,84.1,68,24,7,1,0
Perak,67,Kuala Kangsar,BN,UMNO,Wan Mohammad Khair-Il Anuar Wan Ahmad,win,UMNO,BN,1082,14218,28208,50.4,33540,84.1,68,24,7,1,0
Perak,68,Beruas,BN,GERAKAN,Chang Ko Youn,lose,DAP,PR,5057,16882,39508,42.73,49205,80.29,33,52,15,0,0
Perak,68,Beruas,PR,DAP,Ngeh Koo Ham,win,DAP,PR,5057,21939,39508,55.53,49205,80.29,33,52,15,0,0
Perak,69,Parit,BN,UMNO,Mohd Zaim Abu Hasan,win,UMNO,BN,4497,16253,28541,56.95,33503,85.19,92,3,3,2,0
Perak,69,Parit,PR,PAS,Muhammad Ismi Mat Taib,lose,UMNO,BN,4497,11756,28541,41.19,33503,85.19,92,3,3,2,0
Perak,70,Kampar,BN,MCA,Lee Chee Leong,lose,DAP,PR,5400,21463,49142,43.68,63619,77.24,29,60,9,2,0
Perak,70,Kampar,PR,DAP,Ko Chung Sen,win,DAP,PR,5400,26863,49142,54.66,63619,77.24,29,60,9,2,0
Perak,71,Gopeng,PR,PKR,Lee Boon Chye,win,PKR,PR,15309,47558,81236,58.54,97092,83.67,43,46,9,2,0
Perak,71,Gopeng,BN,MCA,Tan Chin Meng,lose,PKR,PR,15309,32249,81236,39.7,97092,83.67,43,46,9,2,0
Perak,72,Tapah,IND,IND,Ridzuan Bani,lose,MIC,BN,7927,337,36843,0.91,45485,81,46,28,13,13,0
Perak,72,Tapah,Berjasa,Berjasa,Shaharuzzaman Bistamam,lose,MIC,BN,7927,2053,36843,5.57,45485,81,46,28,13,13,0
Perak,72,Tapah,PR,PKR,Vasantha Kumar A/L Krishnan,lose,MIC,BN,7927,12743,36843,34.59,45485,81,46,28,13,13,0
Perak,72,Tapah,BN,MIC,Saravanan A/L Murugan,win,MIC,BN,7927,20670,36843,56.1,45485,81,46,28,13,13,0
Perak,73,Pasir Salak,BN,UMNO,Tajuddin Abdul Rahman,win,UMNO,BN,7386,24875,43372,57.35,51498,84.22,79,14,4,4,0
Perak,73,Pasir Salak,PR,PKR,Mustaffa Kamil Ayub,lose,UMNO,BN,7386,17489,43372,40.32,51498,84.22,79,14,4,4,0
Perak,74,Lumut,BN,MCA,Kong Cho Ha,lose,PKR,PR,8168,32140,73581,43.68,88300,83.33,51,35,12,1,0
Perak,74,Lumut,PR,PKR,Mohamad Imran Abd Hamid,win,PKR,PR,8168,40308,73581,54.78,88300,83.33,51,35,12,1,0
Perak,75,Bagan Datok,PR,PKR,Madhi Hasan,lose,UMNO,BN,2108,15068,32960,45.72,39924,82.56,55,20,24,2,0
Perak,75,Bagan Datok,BN,UMNO,Ahmad Zahid Hamidi,win,UMNO,BN,2108,17176,32960,52.11,39924,82.56,55,20,24,2,0
Perak,76,Telok Intan,PR,DAP,Seah Leong Peng,win,DAP,PR,7313,27399,48649,56.32,60483,80.43,38,42,19,1,0
Perak,76,Telok Intan,BN,MCA,Mah Siew Keong,lose,DAP,PR,7313,20086,48649,41.29,60483,80.43,38,42,19,1,0
Perak,76,Telok Intan,IND,IND,Moralingam A/L Kannan,lose,DAP,PR,7313,279,48649,0.57,60483,80.43,38,42,19,1,0
Perak,77,Tanjong Malim,BN,MCA, Seri Ong Ka Chuan,win,MCA,BN,4328,28225,53237,53.02,64499,82.54,53,27,14,6,0
Perak,77,Tanjong Malim,PR,PKR,Tan Yee Kew,lose,MCA,BN,4328,23897,53237,44.89,64499,82.54,53,27,14,6,0
Pahang,78,Cameron Highlands,IND,IND,Alagu A/L Thangarajoo,lose,MIC,BN,462,308,22748,1.35,27980,81.3,34,32,12,21,0
Pahang,78,Cameron Highlands,IND,IND,Kisho Kumar A/L Kathirveloo,lose,MIC,BN,462,101,22748,0.44,27980,81.3,34,32,12,21,0
Pahang,78,Cameron Highlands,PR,DAP,Manogaran A/L Marimuthu,lose,MIC,BN,462,10044,22748,44.15,27980,81.3,34,32,12,21,0
Pahang,78,Cameron Highlands,Berjasa,Berjasa,Mohd Shokri Mahmood,lose,MIC,BN,462,912,22748,4.01,27980,81.3,34,32,12,21,0
Pahang,78,Cameron Highlands,BN,MIC,Palanivel A/L K. Govindasamy,win,MIC,BN,462,10506,22748,46.18,27980,81.3,34,32,12,21,0
Pahang,79,Lipis,BN,UMNO,Abdul Rahman Mohamad,win,UMNO,BN,3469,14863,26986,55.08,32324,83.49,76,17,6,1,0
Pahang,79,Lipis,IND,IND,Aishaton Ti Abu Bakar,lose,UMNO,BN,3469,303,26986,1.12,32324,83.49,76,17,6,1,0
Pahang,79,Lipis,PR,PAS,Mohd Mahyuddin Ghazal @ Razali,lose,UMNO,BN,3469,11394,26986,42.22,32324,83.49,76,17,6,1,0
Pahang,80,Raub,BN,MCA,Hoh Khai Mun,lose,DAP,PR,2814,20601,44943,45.84,54214,82.9,50,40,6,4,0
Pahang,80,Raub,PR,DAP,Mohd Ariff Sabri Abdul Aziz,win,DAP,PR,2814,23415,44943,52.1,54214,82.9,50,40,6,4,0
Pahang,81,Jerantut,BN,UMNO,Ahmad Nazlan Idris,win,UMNO,BN,4532,26544,49461,53.67,58364,84.75,81,14,3,3,0
Pahang,81,Jerantut,PR,PAS,Hamzah Jaaffar,lose,UMNO,BN,4532,22012,49461,44.5,58364,84.75,81,14,3,3,0
Pahang,82,Indera Mahkota,BN,UMNO,Adnan Wan Mamat,lose,PKR,PR,7523,23061,54527,42.29,64219,84.91,65,29,6,1,0
Pahang,82,Indera Mahkota,PR,PKR,Fauzi Abdul Rahman,win,PKR,PR,7523,30584,54527,56.09,64219,84.91,65,29,6,1,0
Pahang,82,Indera Mahkota,IND,IND,Ponusamy A/L Govindasamy,lose,PKR,PR,7523,193,54527,0.35,64219,84.91,65,29,6,1,0
Pahang,83,Kuantan,PR,PKR,Fuziah Ti Salleh,win,PKR,PR,4515,25834,47723,54.13,56280,84.8,62,33,4,1,0
Pahang,83,Kuantan,BN,UMNO,Mohamed Suffian Awang,lose,PKR,PR,4515,21319,47723,44.67,56280,84.8,62,33,4,1,0
