KodPAR,state,const_name,total_voters,voted_voters,turnout_rate,majority,party_1,candidate_1,vote_1,percent_1,party_2,candidate_2,vote_2,percent_2,party_3,candidate_3,vote_3,percent_3,party_4,candidate_4,vote_4,percent_4,party_5,candidate_5,vote_5,percent_5,party_6,candidate_6,vote_6,percent_6
30,Kelantan,Jeli,"47,470","38,761",81.65%,"6,647",BN,Mustapa Mohamed ,,,PH,Azran Deraman,,,PAS,Mohamad Hamid,,,,,,,,,,,,,,
31,Kelantan,Kuala Krai,"70,348","54,987",78.16%,"7,992",BN,Ramzi Ab Rahman,,,PH,Mohd Yazid Abdullah,,,PAS,Abdul Latiff Abdul Rahman,,,,,,,,,,,,,,
32,Kelantan,Gua Musang,"52,524","39,936",76.03%,"3,913",BN,Tengku Razaleigh Mohd Hamzah,,,PH,Mohd Nor Hussin,,,PAS,Abdullah Hussein,,,,,,,,,,,,,,
33,Terengganu,Besut,"86,627","70,935",81.89%,"4,599",BN,Idris Jusoh,,,PH,Wan Nazari Wan Jusoh,,,PAS,Riduan Mohamad Nor,,,,,,,,,,,,,,
34,Terengganu,Setiu,"86,247","71,978",83.46%,"2,802",BN,Mohd Jidin Shafee,,,PH,Mohd Faudzi Musa,,,PAS,Shaharizukirnain Abd Kadir,,,,,,,,,,,,,,
35,Terengganu,Kuala Nerus,"83,663","72,105",86.19%,"8,447",BN,Tengku Asmadi Tengku Mohamad,,,PH,Abdullah Mohamed,,,PAS,Mohd Khairuddin Aman Razali,,,,,,,,,,,,,,
36,Terengganu,Kuala Terengganu,"103,611","86,583",83.57%,"14,773",BN,Wan Nawawi Wan Ismail,,,PH,Raja Kamarul Bahrin Shah,,,PAS,Ahmad Amzad Mohamed @ Hashim,,,,,,,,,,,,,,
37,Terengganu,Marang,"104,898","90,682",86.45%,"21,954",BN,Mohamad Nor Endot,,,PH,Zarawi Sulong,,,PAS,Abdul Hadi Awang,,,,,,,,,,,,,,
38,Terengganu,Hulu Terengganu,"73,487","62,346",84.84%,"2,868",BN,Rosol Wahid,,,PH,Razali Idris,,,PAS,Muhydin Abdul Rashid,,,,,,,,,,,,,,
39,Terengganu,Dungun,"90,506","75,414",83.32%,"13,119",BN,Din Adam,,,PH,Abd Rahman Yusof,,,PAS,Wan Hassan Mohd Ramli,,,,,,,,,,,,,,
40,Terengganu,Kemaman,"107,593","90,504",84.12%,"2,163",BN,Ahmad Shabery Cheek,,,PH,Mohd Huzaifah Md Suhaimi,,,PAS,Che Alias Hamid,,,,,,,,,,,,,,
41,Penang,Kepala Batas,"60,523","52,302",86.42%,"4,736",BN,Reezal Merican Naina Merican,,,PH,Zaidi Zakaria,,,PAS,Siti Mastura Muhamad,,,,,,,,,,,,,,
42,Penang,Tasek Gelugor,"60,850","51,904",85.30%,81,BN,Shabudin Yahaya,,,PH,Marzuki Yahya,,,PAS,Rizal Hafiz Ruslan,,,,,,,,,,,,,,
43,Penang,Bagan,"71,583","60,087",83.94%,"43,902",BN,Koay Xing Boon,,,PH,Lim Guan Eng,,,PCM,Huan Cheng Guan,,,PBM,Koay Xing Boon,,,,,,,,,,
44,Penang,Permatang Pauh,"81,789","69,828",85.38%,"15,668",BN,Mohd Zaidi Mohd Said,,,PH,Nurul Izzah Anwar,,,PAS,Afnan Hamimi Taib Azamudden,,,,,,,,,,,,,,
45,Penang,Bukit Mertajam,"88,998","74,691",83.92%,"52,877",BN,Gui Guat Lye,,,PH,Sim Chee Keong,,,,,,,,,,,,,,,,,,
46,Penang,Batu Kawan,"65,394","54,705",83.65%,"33,553",BN,Jayanthi Devi Balaguru,,,PH,Kasthuriraani Patto,,,PAS,Jay Kumar Balakrishna,,,PFP,Ooi Khar Giap,,,,,,,,,,
47,Penang,Nibong Tebal,"73,383","62,179",84.73%,"15,817",BN,Shaik Hussein Mydin,,,PH,Mansor Othman,,,PAS,Mohd Helmi Harun,,,Independent,Tan Tee Beng,,,,,,,,,,
48,Penang,Bukit Bendera,"75,069","59,706",79.53%,"40,731",BN,Andy Yong Kim Seng,,,PH,Wong Hon Wai,,,PBM,Tan Gim Theam,,,,,,,,,,,,,,
49,Penang,Tanjong,"49,586","39,727",80.12%,"29,599",BN,Ng Siew Lai,,,PH,Chow Kon Yeow,,,,,,,,,,,,,,,,,,
50,Penang,Jelutong,"76,991","63,666",82.69%,"38,171",BN,Baljit Singh Jigiri Singh,,,PH,Sanisvara Nethaji Rayer Rajaji,,,PBM,Tan Sim Bee,,,,,,,,,,,,,,
51,Penang,Bukit Gelugor,"91,595","75,705",82.65%,"55,951",BN,Low Joo Hiap,,,PH,Ramkarpal Singh Karpal Singh,,,PBM,Lai Xue Ching,,,,,,,,,,,,,,
52,Penang,Bayan Baru,"90,780","74,849",82.45%,"37,751",BN,Chuah Seng Guan,,,PH,Sim Tze Tzin,,,PAS,Iszuree Ibrahim,,,PBM,Yim Boon Leong,,,,,,,,,,
53,Penang,Balik Pulau,"59,086","49,776",84.24%,"6,464",BN,Hilmi Yahaya,,,PH,Muhammad Bakhtiar Wan Chik,,,PAS,Muhammad Imran Muhammad Sa'ad,,,,,,,,,,,,,,
54,Perak,Gerik,"35,903","27,311",76.07%,"5,528",BN,Hasbullah Osman,,,PH,Ibrahim Mohd Hanafiah,,,PAS,Mohd Dahalan Ismail,,,,,,,,,,,,,,
