State,KodPAR,const_name,won_coallition,winlose,total_voters,voters
Selangor,102,Bangi,Pakatan Harapan,win,178790,"178,790"
Selangor,106,Damansara,Pakatan Harapan,win,164322,"164,322"
Selangor,110,Klang,Pakatan Harapan,win,149348,"149,348"
Selangor,111,Kota Raja,Pakatan Harapan,win,149021,"149,021"
Selangor,104,Subang,Pakatan Harapan,win,146422,"146,422"
Selangor,98,Gombak,Pakatan Harapan,win,141112,"141,112"
Selangor,105,Petaling Jaya ,Pakatan Harapan,win,140920,"140,920"
Johor,162,Iskandar Puteri,Pakatan Harapan,win,138299,"138,299"
Melaka,138,Kota Melaka,Pakatan Harapan,win,126848,"126,848"
Selangor,109,Kapar,Pakatan Harapan,win,124983,"124,983"
Johor,159,Pasir Gudang,Pakatan Harapan,win,124172,"124,172"
Johor,158,Tebrau,Pakatan Harapan,win,123033,"123,033"
Selangor,97,Selayang,Pakatan Harapan,win,116176,"116,176"
Kedah,15,Sungai Petani,Pakatan Harapan,win,112577,"112,577"
Kelantan,19,Tumpat,PAS,win,110924,"110,924"
Negeri Sembilan,128,Seremban,Pakatan Harapan,win,110168,"110,168"
Perak,63,Tambun,Pakatan Harapan,win,107763,"107,763"
Terengganu,40,Kemaman,PAS,win,107593,"107,593"
Selangor,108,Shah Alam,Pakatan Harapan,win,107316,"107,316"
Kedah,16,Baling,Barisan Nasional,win,107213,"107,213"
Johor,161,Pulai,Pakatan Harapan,win,106268,"106,268"
Terengganu,37,Marang,PAS,win,104898,"104,898"
Selangor,113,Sepang,Pakatan Harapan,win,104508,"104,508"
Terengganu,36,Kuala Terengganu,PAS,win,103611,"103,611"
Negeri Sembilan,130,Rasah,Pakatan Harapan,win,102838,"102,838"
Selangor,112,Kuala Langat,Pakatan Harapan,win,102406,"102,406"
Selangor,101,Hulu Langat,Pakatan Harapan,win,102363,"102,363"
Johor,160,Johor Bahru,Pakatan Harapan,win,101409,"101,409"
Selangor,100,Pandan,Pakatan Harapan,win,101319,"101,319"
Selangor,94,Hulu Selangor,Pakatan Harapan,win,100990,"100,990"
